H(Oe)	T(K)	R1+(Ohm)	R1_SD(Ohm)	R2(Ohm)	R2_SD(Ohm)	Hall R1(Ohm)	Hall R1 SD(Ohm)	Hall R2(Ohm)	Hall R2 SD(Ohm)	V(mV)	V_SD(mV)	R(Ohm)	R_SD(Ohm)	Hall V(mV)	Hall V SD(mV)	Hall R(Ohm)	Hall R SD(Ohm)
-28172.580000	    1.900211	  132.863840	    0.000440	  158.404165	    0.000612	   23.564900	    0.004354	  -27.276445	    0.000594	   14.563400	    0.000053	  145.634002	    0.000526	   -0.185577	    0.000247	   -1.855773	    0.002474
-27869.230000	    1.900086	  132.937655	    0.000435	  158.413640	    0.001052	   23.418860	    0.000840	  -27.429895	    0.000312	   14.567565	    0.000074	  145.675647	    0.000744	   -0.200552	    0.000058	   -2.005517	    0.000576
-27568.650000	    1.900169	  132.821005	    0.000333	  158.445645	    0.001404	   23.645760	    0.000802	  -26.880815	    0.000757	   14.563333	    0.000087	  145.633325	    0.000868	   -0.161753	    0.000078	   -1.617528	    0.000780
-27266.970000	    1.900114	  132.864875	    0.000298	  158.367725	    0.000593	   23.689855	    0.000380	  -26.917760	    0.000492	   14.561630	    0.000045	  145.616300	    0.000446	   -0.161395	    0.000044	   -1.613952	    0.000436
-26965.290000	    1.900044	  132.862915	    0.000518	  158.291875	    0.000235	   23.646730	    0.000930	  -26.747815	    0.000885	   14.557740	    0.000038	  145.577395	    0.000377	   -0.155054	    0.000091	   -1.550543	    0.000907
-26662.490000	    1.900030	  133.008520	    0.000540	  158.190465	    0.000470	   23.754735	    0.000376	  -26.990105	    0.000431	   14.559949	    0.000050	  145.599492	    0.000505	   -0.161768	    0.000040	   -1.617685	    0.000403
-26360.800000	    1.900197	  132.833975	    0.001551	  158.269175	    0.000434	   23.728435	    0.001703	  -26.980885	    0.000317	   14.555157	    0.000099	  145.551575	    0.000993	   -0.162622	    0.000101	   -1.626225	    0.001010
-26060.220000	    1.900044	  132.904020	    0.000630	  158.169065	    0.000348	   23.413530	    0.000216	  -27.147140	    0.001806	   14.553654	    0.000049	  145.536542	    0.000489	   -0.186681	    0.000101	   -1.866805	    0.001011
-25757.430000	    1.899961	  132.847585	    0.000253	  158.322100	    0.000326	   23.689340	    0.000580	  -26.949110	    0.000606	   14.558484	    0.000029	  145.584843	    0.000289	   -0.162988	    0.000059	   -1.629885	    0.000593
-25456.310000	    1.900238	  132.775115	    0.000457	  158.277900	    0.000481	   23.669560	    0.000325	  -26.810045	    0.000896	   14.552651	    0.000047	  145.526507	    0.000469	   -0.157024	    0.000061	   -1.570243	    0.000611
